time/episodes,time/fps,rollout/exploration_rate,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,train/loss,train/learning_rate,train/n_updates
520,1524,0.48399999999999965,1000.0,2.87,520000,341,6.074654447729699e-05,0.0001,117499
524,1522,0.4808,1000.0,2.65,524000,344,3.392042708583176e-05,0.0001,118499
528,1520,0.4776000000000003,1000.0,2.75,528000,347,0.0017905186396092176,0.0001,119499
532,1518,0.4743999999999998,1000.0,2.75,532000,350,0.0020822228398174047,0.0001,120499
536,1517,0.4712000000000002,1000.0,2.6,536000,353,0.0023443703539669514,0.0001,121499
540,1515,0.4679999999999996,1000.0,2.68,540000,356,8.875082130543888e-05,0.0001,122499
544,1513,0.4648,1000.0,2.9,544000,359,4.7803270717849955e-05,0.0001,123499
548,1511,0.46160000000000034,1000.0,2.95,548000,362,9.64874925557524e-05,0.0001,124499
552,1510,0.4583999999999998,1000.0,2.96,552000,365,0.00013592303730547428,0.0001,125499
556,1508,0.4552000000000001,1000.0,2.8,556000,368,0.000111984416435007,0.0001,126499
560,1506,0.4519999999999996,1000.0,2.91,560000,371,0.00018435108358971775,0.0001,127499
564,1505,0.4488,1000.0,3.02,564000,374,0.00025139909121207893,0.0001,128499
568,1503,0.44560000000000033,1000.0,3.06,568000,377,0.00023061879619490355,0.0001,129499
572,1501,0.4423999999999998,1000.0,3.14,572000,380,3.115714207524434e-05,0.0001,130499
576,1500,0.43920000000000015,1000.0,3.31,576000,383,0.00023183083976618946,0.0001,131499
580,1498,0.4359999999999996,1000.0,3.41,580000,387,0.00011625588376773521,0.0001,132499
584,1496,0.4327999999999999,1000.0,3.24,584000,390,9.37764416448772e-05,0.0001,133499
588,1495,0.4296000000000003,1000.0,3.27,588000,393,0.0001490880677010864,0.0001,134499
592,1493,0.4263999999999998,1000.0,3.35,592000,396,0.001548177096992731,0.0001,135499
596,1492,0.42320000000000013,1000.0,3.24,596000,399,0.00010680143168428913,0.0001,136499
600,1490,0.4199999999999996,1000.0,3.2,600000,402,0.002023813547566533,0.0001,137499
604,1489,0.41679999999999995,1000.0,3.06,604000,405,0.00012747780419886112,0.0001,138499
608,1487,0.4136000000000003,1000.0,3.14,608000,408,0.00010233549983240664,0.0001,139499
612,1486,0.4103999999999997,1000.0,3.29,612000,411,0.00020536624651867896,0.0001,140499
616,1484,0.4072000000000001,1000.0,3.45,616000,414,0.001741443993523717,0.0001,141499
620,1483,0.4039999999999996,1000.0,3.48,620000,417,0.00013682078861165792,0.0001,142499
624,1482,0.40079999999999993,1000.0,3.43,624000,421,0.000191375584108755,0.0001,143499
628,1480,0.3976000000000003,1000.0,3.27,628000,424,0.00014951932826079428,0.0001,144499
632,1479,0.39439999999999975,1000.0,3.35,632000,427,5.917504313401878e-05,0.0001,145499
636,1478,0.3912000000000001,1000.0,3.39,636000,430,0.0016691229538992047,0.0001,146499
640,1476,0.38799999999999957,1000.0,3.36,640000,433,0.00037360115675255656,0.0001,147499
644,1474,0.3847999999999999,1000.0,3.15,644000,436,0.007270921021699905,0.0001,148499
648,1473,0.3816000000000003,1000.0,2.95,648000,439,3.437929990468547e-05,0.0001,149499
652,1471,0.37839999999999974,1000.0,2.83,652000,443,4.2247593228239566e-05,0.0001,150499
656,1470,0.3752000000000001,1000.0,2.86,656000,446,0.0008257914450950921,0.0001,151499
660,1468,0.37199999999999955,1000.0,2.88,660000,449,0.0001747104834066704,0.0001,152499
664,1467,0.3687999999999999,1000.0,2.79,664000,452,7.611066394019872e-05,0.0001,153499
668,1465,0.36560000000000026,1000.0,2.67,668000,455,8.33254016470164e-05,0.0001,154499
672,1464,0.3623999999999997,1000.0,2.75,672000,458,0.00018300591909792274,0.0001,155499
676,1463,0.3592000000000001,1000.0,2.42,676000,461,0.0038779093883931637,0.0001,156499
680,1462,0.35599999999999954,1000.0,2.32,680000,465,6.3564810261596e-05,0.0001,157499
684,1460,0.3527999999999999,1000.0,2.41,684000,468,0.0018016565591096878,0.0001,158499
688,1459,0.34960000000000024,1000.0,2.4,688000,471,0.0001380705216433853,0.0001,159499
692,1458,0.3463999999999997,1000.0,2.38,692000,474,0.002936162054538727,0.0001,160499
696,1457,0.34320000000000006,1000.0,2.29,696000,477,0.004022057633846998,0.0001,161499
700,1455,0.3399999999999995,1000.0,2.5,700000,480,6.491541716968641e-05,0.0001,162499
704,1454,0.3367999999999999,1000.0,2.57,704000,484,8.941686246544123e-05,0.0001,163499
708,1453,0.33360000000000023,1000.0,2.58,708000,487,8.424746920354664e-05,0.0001,164499
712,1451,0.3303999999999997,1000.0,2.82,712000,490,0.006448318250477314,0.0001,165499
716,1450,0.32720000000000005,1000.0,2.7,716000,493,0.00219327537342906,0.0001,166499
720,1449,0.3240000000000004,1000.0,2.62,720000,496,0.004022171720862389,0.0001,167499
724,1447,0.32079999999999986,1000.0,2.94,724000,500,0.0001432803546776995,0.0001,168499
728,1446,0.3176000000000002,1000.0,2.91,728000,503,0.009112808853387833,0.0001,169499
732,1445,0.3143999999999997,1000.0,2.8,732000,506,8.170778164640069e-05,0.0001,170499
736,1444,0.31120000000000003,1000.0,2.95,736000,509,0.004281579051166773,0.0001,171499
740,1442,0.3080000000000004,1000.0,2.9,740000,512,0.0002356446348130703,0.0001,172499
744,1441,0.30479999999999985,1000.0,2.87,744000,516,0.00328335864469409,0.0001,173499
748,1440,0.3016000000000002,1000.0,2.87,748000,519,0.00012456468539312482,0.0001,174499
752,1439,0.29839999999999967,1000.0,2.95,752000,522,1.9830304154311307e-05,0.0001,175499
756,1438,0.2952,1000.0,3.05,756000,525,0.00010891076817642897,0.0001,176499
760,1436,0.29200000000000037,1000.0,3.02,760000,528,0.0032860911451280117,0.0001,177499
764,1435,0.28879999999999983,1000.0,2.99,764000,532,9.84213620540686e-05,0.0001,178499
768,1434,0.2856000000000002,1000.0,2.97,768000,535,0.00010752113303169608,0.0001,179499
772,1433,0.28239999999999965,1000.0,2.81,772000,538,0.0001188691530842334,0.0001,180499
776,1432,0.2792,1000.0,2.82,776000,541,1.2240417163411621e-05,0.0001,181499
780,1431,0.27600000000000036,1000.0,2.76,780000,545,0.00011591188376769423,0.0001,182499
784,1429,0.2727999999999998,1000.0,2.71,784000,548,0.004001057241111994,0.0001,183499
788,1428,0.2696000000000002,1000.0,2.68,788000,551,8.096260717138648e-05,0.0001,184499
792,1427,0.26639999999999964,1000.0,2.62,792000,554,7.310154614970088e-05,0.0001,185499
796,1426,0.2632000000000001,1000.0,2.65,796000,557,0.00011280366743449122,0.0001,186499
800,1425,0.26000000000000034,1000.0,2.55,800000,561,0.0001729573414195329,0.0001,187499
804,1424,0.2567999999999998,1000.0,2.5,804000,564,4.383749910630286e-05,0.0001,188499
808,1423,0.25360000000000016,1000.0,2.17,808000,567,0.0032459378708153963,0.0001,189499
812,1422,0.2504000000000006,1000.0,2.03,812000,570,0.00011025150888599455,0.0001,190499
816,1420,0.24719999999999998,1000.0,2.52,816000,574,0.0038149903994053602,0.0001,191499
820,1419,0.24400000000000033,1000.0,2.77,820000,577,0.003916707821190357,0.0001,192499
824,1418,0.2407999999999999,1000.0,2.69,824000,580,0.002480276394635439,0.0001,193499
